profession,gender,amount
feminist,male,2
feminist,female,42
nurse,male,2
nurse,female,9
dancer,male,86
dancer,female,78
singer,male,230
singer,female,146
philantropist,male,62
philantropist,female,39
teacher,male,105
teacher,female,46
writer,male,1086
writer,female,354
founder,male,305
founder,female,71
creator,male,148
creator,female,30
pioneer,male,427
pioneer,female,95
winner,male,210
winner,female,43
expert,male,387
expert,female,63
athlete,male,9
athlete,female,1
surgeon,male,59
surgeon,female,3
inventor,male,89
inventor,female,4
billionaire,male,7
billionaire,female,0
